0	0.416788242	0.004559401	-24.86333333	0.072390147	0.416788242	-24.86333333	1.116	0.82026
14	0.307553483	0.01757742	-24.61066667	0.144597142	0.416788242	-24.86333333	1.116	0.82026
21	0.274294970	0.030361938	-24.12866667	0.059349249	0.416788242	-24.86333333	1.116	0.82026
36	0.196870507	0.000745174	-22.49233333	0.158323508	0.416788242	-24.86333333	1.116	0.82026
56	0.140085308	0.018679652	-14.90633333	0.071500583	0.416788242	-24.86333333	1.116	0.82026
67	0.095785314	0.005259249	-5.278333333	0.628363218	0.416788242	-24.86333333	1.116	0.82026
77	0.058885560	0.005249788	5.254666667	0.248520288	0.416788242	-24.86333333	1.116	0.82026
85	0.043438714	0.005232172	13.80700000	0.123866864	0.416788242	-24.86333333	1.116	0.82026
98	0.023072198	0.00032686	23.53900000	0.417946169	0.416788242	-24.86333333	1.116	0.82026
112	0.013859429	0.001439556	30.35633333	0.040611985	0.416788242	-24.86333333	1.116	0.82026
126	0.004862384	7.20E-06	36.13533333	0.166064245	0.416788242	-24.86333333	1.116	0.82026
149	0.008026230	0.000754819	35.32466667	0.042394968	0.416788242	-24.86333333	1.116	0.82026
202	0.012581879	0.004834165	34.16000000	0.077582214	0.416788242	-24.86333333	1.116	0.82026
