0	0.392483315	0.009508343	-24.86533333	0.230500181	0.392483315	-24.86533333	1.116	1.09368
14	0.284662950	0.009721546	-24.55366667	0.153676066	0.392483315	-24.86533333	1.116	1.09368
21	0.241142724	0.013311126	-23.85833333	0.103635579	0.392483315	-24.86533333	1.116	1.09368
28	0.188546523	0.008126085	-22.80300000	0.031432467	0.392483315	-24.86533333	1.116	1.09368
42	0.138116229	0.002392154	-19.49466667	0.225657558	0.392483315	-24.86533333	1.116	1.09368
49	0.11525093	0.00428499	-16.92466667	0.196380583	0.392483315	-24.86533333	1.116	1.09368
67	0.060330351	0.006678532	-1.380666667	0.848725122	0.392483315	-24.86533333	1.116	1.09368
77	0.037130157	0.005000000	3.181000000	0.289912056	0.392483315	-24.86533333	1.116	1.09368
85	0.022103893	0.003246787	26.17800000	0.404656645	0.392483315	-24.86533333	1.116	1.09368
98	0.007955215	0.000302021	55.05866667	0.850848008	0.392483315	-24.86533333	1.116	1.09368
112	0.005842016	0.000928707	61.82066667	1.214168165	0.392483315	-24.86533333	1.116	1.09368
126	0.000968605	2.88E-06	73.68333333	0.126064798	0.392483315	-24.86533333	1.116	1.09368
149	0.000978292	2.01E-05	71.62433333	0.213439297	0.392483315	-24.86533333	1.116	1.09368
202	0.000630127	3.79E-05	78.68800000	0.244221211	0.392483315	-24.86533333	1.116	1.09368
